well_number,wl_id,latitude,longitude
MORR_0000535,304374,45.65953643,-119.58842904
MORR_0000600,222908,45.753715,-119.549874
MORR_0000649,309731,45.83045622,-119.80394396
MORR_0000834,223054,45.82254164,-119.72370701
MORR_0000871,223081,45.81529251,-119.70829297
MORR_0001107,223223,45.89563742,-119.51295421
MORR_0001471,223430,45.829397,-119.674247
MORR_0001578,223503,45.82625802,-119.65673018
MORR_0050635,223974,45.84698332,-119.70267649
MORR_0050661,224062,45.80840512,-119.5626631
MORR_0051158,335490,45.86591036,-119.26338123
MORR_0051375,383129,45.90246496,-119.52910436
MORR_0051379,384372,45.822554,-119.68770619
MORR_0051420,390553,45.78298093,-119.43751516
MORR_0051422,390954,45.8736487,-119.56129519
MORR_0051427,392646,45.86051778,-119.65866563
MORR_0051515,401786,45.86070938,-119.65841584
MORR_0051529,407344,45.90288933,-119.51771614
MORR_0051531,408307,45.82096612,-119.66502539
MORR_0051538,409223,45.82448,-119.59457
MORR_0051543,409812,45.90336764,-119.52336662
MORR_0051544,410071,45.82990855,-119.6412346
MORR_0051545,410086,45.86010525,-119.65922526
MORR_0051677,420581,45.84069837,-119.70305574
MORR_0051678,420583,45.84069837,-119.70305574
MORR_0051682,421898,45.85163387,-119.67783276
MORR_0051683,421899,45.85163387,-119.67783276
MORR_0051684,421900,45.85163387,-119.67783276
MORR_0051685,423044,45.84434937,-119.68799457
MORR_0051686,423048,45.840975,-119.702031
MORR_0051687,423050,45.840975,-119.702031
MORR_0051688,423052,45.840975,-119.702031
MORR_0051689,423054,45.840975,-119.702031
MORR_0051718,427510,45.82632844,-119.63096583
MORR_0051735,430058,45.82262782,-119.66190758
MORR_0051741,433111,45.89312235,-119.51015997
MORR_0051742,433113,45.82513178,-119.6488709
MORR_0051743,433114,45.81371812,-119.7673873
MORR_0051744,433125,45.6956864,-119.8136591
MORR_0051745,433126,45.6956864,-119.8136591
MORR_0051746,433127,45.6956864,-119.8136591
MORR_0051747,433129,45.6956864,-119.8136591
MORR_0051748,433290,45.88843762,-119.48670442
MORR_0051818,433941,45.88885641,-119.50773075
MORR_0051830,436589,45.89775343,-119.49633023
MORR_0051843,437237,45.88881763,-119.50397438
MORR_0051844,437418,45.832895,-119.769653
MORR_0051845,437439,45.83270551,-119.76948905
MORR_0051858,438823,45.83962487,-119.70221389
MORR_0051861,439854,45.8987536,-119.50764957
MORR_0051868,441905,45.904563,-119.535392
MORR_0051870,442182,45.89495459,-119.52011927
MORR_0051876,444653,45.89926349,-119.46584125
MORR_0051877,445084,45.87107607,-119.49759198
MORR_0051878,445085,45.832895,-119.769653
MORR_0051879,445293,45.90243677,-119.53451772
MORR_0051884,447923,45.90243677,-119.53451772
MORR_0051885,447931,45.7407,-119.446727
MORR_0051886,448073,45.78942,-119.48728
MORR_0051887,448076,45.79177,-119.48743
MORR_0051889,448266,45.81940249,-119.72057753
MORR_0051895,449828,45.88843762,-119.48670442
MORR_0051913,453612,45.84069837,-119.70305574
MORR_0051914,453613,45.84069837,-119.70305574
MORR_0051915,453615,45.84069837,-119.70305574
MORR_0051916,453616,45.84069837,-119.70305574
MORR_0051917,453617,45.84069837,-119.70305574
MORR_0051918,453619,45.84069837,-119.70305574
MORR_0051919,453710,45.82993329,-119.73403673
MORR_0051933,455254,45.758449,-119.54401
MORR_0051934,455401,45.82297268,-119.65234156
MORR_0051935,455832,45.82019,-119.66435
MORR_0051936,455836,45.8065,-119.65121
MORR_0051945,458435,45.84069837,-119.70305574
MORR_0051946,458436,45.84069837,-119.70305574
MORR_0051947,458437,45.84069837,-119.70305574
MORR_0051954,459303,45.65580039,-119.55226424
MORR_0051955,459304,45.65580039,-119.55226424
MORR_0051956,459305,45.65942792,-119.55744342
MORR_0051957,459306,45.65944171,-119.56260812
MORR_0051958,459307,45.65944171,-119.56260812
MORR_0051959,459308,45.65552568,-119.44230052
MORR_0051960,459309,45.65552568,-119.44230052
MORR_0051961,459310,45.65552568,-119.44230052
MORR_0051962,459311,45.65553143,-119.4371405
MORR_0051963,459312,45.65553143,-119.4371405
MORR_0051964,459313,45.72085372,-119.48874546
MORR_0051965,459314,45.72085372,-119.48874546
